Temperature [degC],Current [A],SoC,Voltage [V],Local ECM resistance [Ohm],Time [h],Cell temperature [degC]
15.0,-3.0,0.9728626369141132,4.199999995879693,-0.046777533811490565,1.855191183208449,15.759382051974512
15.0,-3.0,0.9731113099743474,4.200000006899056,-0.04683418838733599,1.860092697652788,15.74855406238322
15.0,3.0,0.9731113099742709,4.096591753882895,0.03056578806996916,1.860092697653066,15.74855406238322
15.0,3.0,0.9631113099744377,4.0719196610670005,0.034458275409383766,1.8767593643194547,15.815241421113114
15.0,3.0,0.9531113099744376,4.058650762864273,0.03461723586455534,1.8934260309861215,15.875335645588166
15.0,3.0,0.9431113099744376,4.046976067514851,0.03431028455810588,1.910092697652788,15.9303230715945
15.0,3.0,0.9331113099744376,4.035928162169272,0.03385807548791112,1.9267593643194547,15.980847813423111
15.0,3.0,0.9231113099744377,4.025171958171761,0.033370669702242964,1.9434260309861213,16.02736456498519
15.0,3.0,0.9131113099744376,4.014576290020508,0.0328903083417611,1.9600926976527882,16.07023971836719
15.0,3.0,0.9031113099744376,4.004091100071875,0.0324323338190308,1.9767593643194548,16.10978620569665
15.0,3.0,0.8931113099744376,3.9937006543924785,0.032000772349623396,1.9934260309861214,16.146278625976265
15.0,3.0,0.8831113099744374,3.9834019342089806,0.03159552744534381,2.010092697652788,16.179962125981433
15.0,3.0,0.8731113099744374,3.9731966394444793,0.031215037749280285,2.026759364319455,16.21105778567454
15.0,3.0,0.8631113099744374,3.963087517825501,0.030857494100293998,2.0434260309861214,16.239368680771804
15.0,3.0,0.8531113099744374,3.953079931271708,0.030520311559654473,2.060092697652788,16.26580403339443
15.0,3.0,0.8431113099744377,3.943176603070569,0.030201875000792335,2.0767593643194546,16.29029287017073
15.0,3.0,0.8331113099744377,3.9333803934783225,0.029900608903330312,2.0934260309861212,16.312966589897655
15.0,3.0,0.8231113099744375,3.923693752275911,0.029615155069626493,2.1100926976527883,16.33389414801161
15.0,3.0,0.8131113099744376,3.9141189490515793,0.02934429126619268,2.126759364319455,16.353204653938235
15.0,3.0,0.8031113099744376,3.904658487697583,0.02908678856636948,2.1434260309861215,16.371207155527145
15.0,3.0,0.7931113099744376,3.8953135772931637,0.028841916607166507,2.160092697652788,16.387743012083945
15.0,3.0,0.7831113099744377,3.886085791212992,0.02860888605865345,2.1767593643194547,16.402848192948
15.0,3.0,0.7731113099744378,3.876976219510954,0.028387126461914065,2.1934260309861213,16.41642928799706
15.0,3.0,0.7631113099744377,3.8679879595726825,0.028175450772461936,2.210092697652788,16.429126015408883
15.0,3.0,0.7531113099744374,3.8591219297141985,0.02797344432341179,2.226759364319455,16.44089410101742
15.0,3.0,0.7431113099744375,3.850379402688185,0.027780610946103252,2.2434260309861216,16.45178321087417
15.0,3.0,0.7331113099744375,3.8417615646768395,0.027596504124731247,2.260092697652788,16.461872712434058
15.0,3.0,0.7231113099744378,3.833269280318568,0.027420774956635974,2.2767593643194544,16.471221757174987
15.0,3.0,0.7131113099744378,3.8249025701749217,0.027253283442806087,2.293426030986121,16.479782029381965
15.0,3.0,0.7031113099744376,3.8166605803881914,0.02709397292715539,2.310092697652788,16.487672271147005
15.0,3.0,0.6931113099744377,3.808539317925731,0.026943326729207257,2.3267593643194546,16.49491256996106
15.0,3.0,0.6831113099744378,3.8005280101034877,0.026802921393896728,2.3434260309861212,16.501405370891916
15.0,3.0,0.6731113099744378,3.7926028898246704,0.02667603931760887,2.360092697652788,16.50748336481655
15.0,3.0,0.6631113099744379,3.7847078131957557,0.026570940891560646,2.3767593643194544,16.513131350255776
15.0,3.0,0.6531113099744379,3.7767211037101216,0.026505147410685805,2.393426030986121,16.51837884009376
15.0,3.0,0.6431113099744379,3.768393821635524,0.026512624069880232,2.4100926976527877,16.523245886643622
15.0,3.0,0.6331113099744377,3.759279717135359,0.026645056720187466,2.4267593643194547,16.52776380543287
15.0,3.0,0.6231113099744378,3.7487971338870585,0.026932786218704763,2.4434260309861213,16.531972600334086
15.0,3.0,0.6131113099744377,3.7367384523376876,0.02726238285340221,2.460092697652788,16.535887064636995
15.0,3.0,0.6031113099744378,3.7240433553291132,0.027327960749675917,2.4767593643194545,16.539549544784165
15.0,3.0,0.5931113099744378,3.7123764297575264,0.026976983455134402,2.493426030986121,16.542952216739536
15.0,3.0,0.5831113099744379,3.7025817809498927,0.02645019347190273,2.5100926976527878,16.546195673337536
15.0,3.0,0.5731113099744379,3.694392830499294,0.02601425597598883,2.5267593643194544,16.549285193383355
15.0,3.0,0.563111309974438,3.687226769891013,0.02572985209712423,2.543426030986121,16.552238591894877
15.0,3.0,0.5531113099744378,3.680652274731977,0.025554676115639698,2.560092697652788,16.555083958511204
15.0,3.0,0.5431113099744378,3.6744315941905454,0.025441763513645466,2.5767593643194546,16.55783356941447
15.0,3.0,0.5331113099744379,3.6684485669684888,0.02536232943350954,2.5934260309861212,16.560518923011273
15.0,3.0,0.5231113099744378,3.66264909707048,0.025301712601403754,2.610092697652788,16.563148608860104
